designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J095325.19+425419.0,148.3549914,42.9052960 ,177.3247493,50.8377203 ,14.081,0.027    ,13.887,0.036    ,12.286,0.338    ,9.261 ,null     ,15.148   ,0.054       ,14.477   ,0.060       ,14.329   ,0.095       ,0.0159     
J095347.65+025708.4,148.4485628,2.9523493  ,234.7268421,41.1776513 ,14.764,0.032    ,14.619,0.061    ,11.995,0.348    ,8.979 ,null     ,15.948   ,0.080       ,15.163   ,0.079       ,14.878   ,0.130       ,0.0485     
J095512.58+381850.4,148.8024501,38.3140061 ,184.5610487,51.6776129 ,13.642,0.025    ,13.401,0.032    ,11.741,0.246    ,8.989 ,null     ,14.729   ,0.034       ,14.183   ,0.040       ,13.932   ,0.043       ,0.0135     
J100307.39+441106.3,150.7808076,44.1850902 ,174.7728755,52.3261330 ,12.905,0.024    ,12.657,0.024    ,11.630,0.194    ,9.008 ,null     ,null     ,null        ,null     ,null        ,null     ,null        ,0.0111     
J101233.37+042445.9,153.1390790,4.4127558  ,236.7469060,45.8574292 ,13.663,0.025    ,13.457,0.033    ,11.858,0.288    ,8.215 ,null     ,14.727   ,0.039       ,14.270   ,0.050       ,13.932   ,0.066       ,0.0206     
J101233.95+325826.6,153.1414869,32.9740788 ,193.4028964,55.3336299 ,14.054,0.026    ,13.887,0.037    ,12.192,0.349    ,9.054 ,null     ,15.034   ,0.043       ,14.473   ,0.044       ,14.220   ,0.074       ,0.0179     
J101606.21+335148.6,154.0259098,33.8635075 ,191.8268937,56.0735595 ,13.287,0.025    ,13.081,0.029    ,11.636,0.226    ,8.773 ,null     ,14.295   ,0.029       ,13.674   ,0.026       ,13.361   ,0.037       ,0.0187     
J101740.52+285851.6,154.4188561,28.9810036 ,200.6109888,56.1738513 ,13.954,0.027    ,13.600,0.034    ,11.482,0.191    ,8.477 ,null     ,15.022   ,0.039       ,14.317   ,0.044       ,14.139   ,0.059       ,0.0344     
J102042.18+621524.7,155.1757806,62.2568882 ,147.5967690,47.0072451 ,13.727,0.025    ,13.531,0.030    ,12.050,0.285    ,8.793 ,null     ,14.889   ,0.043       ,14.277   ,0.052       ,13.871   ,0.054       ,0.0045     
J102754.77+184512.9,156.9782171,18.7535959 ,219.4804705,56.0385428 ,14.438,0.030    ,14.238,0.050    ,11.967,0.325    ,8.802 ,null     ,15.293   ,0.045       ,14.768   ,0.059       ,14.507   ,0.076       ,0.0241     
